puntuacionIMDB,ranking,sinopsis,guionistas,generos,director,anyoEstreno,enlace,titulo,duracion
8.9,6,"In German-occupied Poland during World War II, Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazi Germans.","Thomas Keneally,Steven Zaillian,Universal Pictures,Amblin Entertainment"," Biography, Drama, History",Steven Spielberg,(1993),http://imdb.com/title/tt0108052/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=128HCK3A15FECSBMK2AB&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_6,Schindler's List,3h 15min
8.9,5,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,"Reginald Rose,Reginald Rose,Orion-Nova Productions"," Crime, Drama",Sidney Lumet,(1957),http://imdb.com/title/tt0050083/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=128HCK3A15FECSBMK2AB&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_5,12 Angry Men,1h 36min
9.0,4,"When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham, the Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Jonathan Nolan,Christopher Nolan,Warner Bros.,Legendary Entertainment,Syncopy"," Action, Crime, Drama, Thriller",Christopher Nolan,(2008),http://imdb.com/title/tt0468569/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=128HCK3A15FECSBMK2AB&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_4,The Dark Knight,2h 32min
9.0,3,"The early life and career of Vito Corleone in 1920s New York is portrayed while his son, Michael, expands and tightens his grip on the family crime syndicate.","Francis Ford Coppola,Mario Puzo,Paramount Pictures,The Coppola Company"," Crime, Drama",Francis Ford Coppola,(1974),http://imdb.com/title/tt0071562/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=128HCK3A15FECSBMK2AB&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_3,The Godfather: Part II,3h 22min
9.2,2,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,"Mario Puzo,Francis Ford Coppola,Paramount Pictures,Alfran Productions"," Crime, Drama",Francis Ford Coppola,(1972),http://imdb.com/title/tt0068646/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=128HCK3A15FECSBMK2AB&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_2,The Godfather,2h 55min
8.6,26,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.","Christopher McQuarrie,PolyGram Filmed Entertainment,Spelling Films International,Blue Parrot"," Crime, Drama, Mystery, Thriller",Bryan Singer,(1995),http://imdb.com/title/tt0114814/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=128HCK3A15FECSBMK2AB&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_26,The Usual Suspects,1h 46min
8.6,25,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.","Vincenzo Cerami,Roberto Benigni,Melampo Cinematografica,Cecchi Gori Group Tiger Cinematografica"," Comedy, Drama, War",Roberto Benigni,(1997),http://imdb.com/title/tt0118799/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=128HCK3A15FECSBMK2AB&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_25,Life Is Beautiful,1h 56min
8.6,24,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,"Frances Goodrich,Albert Hackett,Liberty Films (II)"," Drama, Family, Fantasy",Frank Capra,(1946),http://imdb.com/title/tt0038650/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=128HCK3A15FECSBMK2AB&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_24,It's a Wonderful Life,2h 10min
8.6,23,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","Thomas Harris,Ted Tally,Strong Heart/Demme Production,Orion Pictures"," Crime, Drama, Thriller",Jonathan Demme,(1991),http://imdb.com/title/tt0102926/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=128HCK3A15FECSBMK2AB&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_23,The Silence of the Lambs,1h 58min
8.6,22,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","Andrew Kevin Walker,Cecchi Gori Pictures,Juno Pix,New Line Cinema"," Crime, Drama, Mystery, Thriller",David Fincher,(1995),http://imdb.com/title/tt0114369/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=128HCK3A15FECSBMK2AB&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_22,Se7en,2h 7min
